0,100000351,Tornio På Gränsen Rajala,65.843294,24.145138,
1,740000001,Stockholm Centralstation,59.330140,18.058155,
2,740000002,Göteborg Centralstation,57.708895,11.973479,
3,740000003,Malmö Centralstation,55.609458,13.000913,
4,740000004,Alvesta station,56.898781,14.556319,
5,740000005,Uppsala Centralstation,59.858534,17.646086,
6,740000006,Hässleholm Centralstation,56.157760,13.763139,
7,740000007,Norrköping Centralstation,58.596627,16.183347,
8,740000008,Skövde Centralstation,58.390897,13.853194,
9,740000009,Linköping Centralstation,58.416635,15.624963,
10,740000011,Teckomatorp station,55.870590,13.086124,
11,740000012,Vargön station,58.359221,12.392534,
12,740000014,Stenungsund station,58.072592,11.824760,
13,740000015,Boxholm station,58.193654,15.054149,
14,740000016,Vara station,58.260825,12.951876,
15,740000017,Hasslö Fabian Månsons väg,56.112856,15.469684,
16,740000018,Alingsås station,57.926861,12.532494,
17,740000019,Leksand station,60.733992,15.003328,
18,740000020,Kalmar Centralstation,56.661282,16.360067,
19,740000021,Kinnared station,57.026158,13.105522,
20,740000022,Perstorp station,56.136360,13.397194,
21,740000023,Säffle station,59.132229,12.916875,
22,740000024,Söderbärke station,60.072478,15.537072,
23,740000025,Storlien station,63.316083,12.099118,
24,740000026,Säter station,60.346490,15.757055,
25,740000027,Märsta station,59.628181,17.861620,
26,740000028,Ystad station,55.427317,13.824574,
27,740000029,Lönsboda busstation,56.396629,14.320530,
28,740000030,Falun Centralstation,60.603289,15.641625,
29,740000031,Flemingsberg station,59.217958,17.945683,
30,740000032,Bräcke station,62.750053,15.417085,
31,740000034,Forserum station,57.697835,14.473974,
32,740000035,Axvall centrum,58.388538,13.574720,
33,740000036,Floby station,58.139308,13.335301,
34,740000037,Ånn station,63.321229,12.538907,
35,740000038,Marstrand färjeläge,57.886695,11.588768,
36,740000039,Mellerud station,58.701861,12.464744,
37,740000040,Herrljunga station,58.079187,13.021275,
38,740000041,Tranås station,58.037967,14.975025,
39,740000042,Hedemora station,60.274000,15.980318,
40,740000043,Sollefteå station,63.166988,17.264907,
41,740000044,Helsingborg Centralstation,56.044404,12.694262,
42,740000045,Älmhult station,56.551426,14.136985,
43,740000046,Ramnäs station,59.769763,16.208185,
44,740000048,Charlottenberg station,59.883972,12.297648,
45,740000049,Södertälje hamn station,59.179302,17.646538,
46,740000050,Nyköping Centralstation,58.755685,16.994784,
47,740000051,Sollerön centrum,60.915526,14.617197,
48,740000052,Värnamo station,57.186284,14.035723,
49,740000053,Skellefteå busstation,64.753594,20.949227,
50,740000054,Hällevadsholm station,58.579860,11.535763,
51,740000055,Södertälje Syd station,59.162411,17.645368,
52,740000056,Överby station,58.843340,11.259379,
53,740000057,Trönninge,56.618004,12.946502,
54,740000058,Laholm station,56.501909,12.999604,
55,740000059,Björkliden station,68.406593,18.686674,
56,740000060,Falköping Centralstation,58.176101,13.553794,
57,740000062,Smedjebacken station,60.136321,15.405814,
58,740000063,Enafors station,63.289992,12.337211,
59,740000064,Ängelholm station,56.245202,12.854194,
60,740000065,Dingle station,58.529479,11.578971,
61,740000066,Nol station,57.918462,12.061958,
62,740000067,Läggesta station,59.248426,17.167374,
63,740000069,Ronneby station,56.206976,15.282939,
64,740000070,Karlstad Centralstation,59.378102,13.498992,
65,740000071,Gårdsjö station,58.871916,14.333548,
66,740000072,Enköping station,59.644750,17.088163,
67,740000073,Karlshamn station,56.176511,14.868018,
68,740000074,Kristineberg,65.060466,18.573732,
69,740000075,Skee station,58.923379,11.261880,
70,740000076,Åmål station,59.046416,12.698151,
71,740000077,Hallsberg station,59.067102,15.110380,
72,740000078,Sävsjö station,57.402850,14.665306,
73,740000079,Sölvesborg station,56.049941,14.582737,
74,740000080,Halmstad Centralstation,56.669272,12.864842,
75,740000081,Nödinge station,57.893119,12.044648,
76,740000082,Västervik station,57.755505,16.643236,
77,740000083,Håkantorp station,58.307045,12.907294,
